,merchant_id,created_datetime_dubai,order_id,aed_amount,consumer_id,cluster_country,shared_ip,created_datetime_dubai_string,which_day,which_month,mtd,merchant_name,in_store
40,b85d3ac4-1e22-4d4f-b180-f6b424fcab8f,2024-08-15,4738113f-9218-48dd-a09d-a897428fb49b,500.0,2dc9d2bb-6ce2-4ae4-bd09-1b284713170c,QAT,0.0,2024-08-15,last_month_today,last_month,last_month,U Events,False
41,1f6dc83c-0896-407d-ab4c-097be1ef4fb9,2024-08-15,c961cf7c-c17b-4bff-9552-f071328beafe,599.0,cb3cf0c8-8c0d-4630-a098-c90f7db17680,QAT,1.0,2024-08-15,last_month_today,last_month,last_month,Store 974,False
42,dfe044f2-fb3a-42b4-b42f-fec46043476c,2024-08-19,c81f6f9f-9dd6-4d94-8e10-e539b756ffba,599.0,e53c9e86-f31f-43bc-9783-4b64b1004cd9,QAT,0.0,2024-08-19,,last_month,,Tech Station Trading,False
43,f9efe4bd-84f4-4ede-8f0f-77e6bd667c9f,2024-08-20,f18b6970-0fe2-429f-8927-9fae982f3eb3,4000.0,68319604-1330-4cdd-81ed-1017118accb4,QAT,1.0,2024-08-20,,last_month,,People's Telecom,False
44,f9efe4bd-84f4-4ede-8f0f-77e6bd667c9f,2024-08-20,d4f8035f-4719-41fa-afa3-b61a969c084b,4000.0,c39d9814-453c-4a19-9794-c228a01fed5e,QAT,0.0,2024-08-20,,last_month,,People's Telecom,False
45,61b0d8b2-82f9-4d42-b5b4-89cb6b73fb84,2024-08-21,0bbab06a-bf69-4fff-b847-06b0dff432b1,274.5,22218266-be73-493b-8e8e-ed584a17dd23,QAT,1.0,2024-08-21,,last_month,,Approved Market,False
46,f9efe4bd-84f4-4ede-8f0f-77e6bd667c9f,2024-08-22,11573e1e-4475-40e3-991b-bcba1de79332,699.0,941add44-950f-4ad3-8488-efaba38c5ff6,QAT,0.0,2024-08-22,,last_month,,People's Telecom,False
47,f9efe4bd-84f4-4ede-8f0f-77e6bd667c9f,2024-08-22,c1a178f8-2bb8-4efe-8577-d5d07bee6173,4000.0,082ffeef-9657-48c4-9cad-a5f9976e0fd8,QAT,1.0,2024-08-22,,last_month,,People's Telecom,False
48,61b0d8b2-82f9-4d42-b5b4-89cb6b73fb84,2024-08-22,de202ec5-fe14-458d-85ab-b55e2ec869bd,305.75,2c6d2370-705b-4fd0-b426-6a83f509c85d,QAT,1.0,2024-08-22,,last_month,,Approved Market,False
49,f9efe4bd-84f4-4ede-8f0f-77e6bd667c9f,2024-08-23,827e0ea2-67ab-4efa-b190-28fe6d8ae5c0,1589.0,115e5120-0de0-454d-aef9-a35ee1148146,QAT,0.0,2024-08-23,,last_month,,People's Telecom,False
50,a1008604-16c2-4cc4-a826-4a5a8998e72c,2024-08-24,e16a3c2e-0020-474c-be77-09f870cf4f6e,1390.0,aba22397-ce77-4296-9ff6-579080e08afc,QAT,0.0,2024-08-24,,last_month,,Joy Travels,False
51,f9efe4bd-84f4-4ede-8f0f-77e6bd667c9f,2024-08-27,ad3b8f04-07f7-4f4e-854b-f98c754c151d,799.0,a8a4d3a6-8dde-4f5f-bd7e-47d97ed94130,QAT,1.0,2024-08-27,,last_month,,People's Telecom,False
52,f9efe4bd-84f4-4ede-8f0f-77e6bd667c9f,2024-08-26,3582faff-9d80-4588-b89f-3b0129a63c96,4000.0,4fcf3658-06dd-498c-8ee4-584546cd55f1,QAT,0.0,2024-08-26,,last_month,,People's Telecom,False
