,effective_at,installment_id,installment_number,merchant_id,miss,mtd,order_id,which_day,which_month,which_month_name,rolling_30,rolling_30_30_days_ago,rolling_change,rolling_30_inst1,rolling_30_30_days_ago_inst1,rolling_change_inst1,rolling_30_inst2,rolling_30_30_days_ago_inst2,rolling_change_inst2,rolling_30_inst3,rolling_30_30_days_ago_inst3,rolling_change_inst3,rolling_30_inst4,rolling_30_30_days_ago_inst4,rolling_change_inst4,merchant_name
10,2024-07-03,f6be9507-1795-409d-b8fa-ca07154d4a7c,1,e9d41268-9b8b-454a-972a-0648ceea313c,1,last_to_last_month,2c4565cf-3354-447d-aa8c-4b2be1879940,,last_to_last_month,July,0.358974358974359,0.358974358974359,0.0,0.20588235294117646,,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,PayLater Test Merchant
11,2024-07-03,2d8501ef-0868-4fac-affb-563c0c1768ff,1,e9d41268-9b8b-454a-972a-0648ceea313c,1,last_to_last_month,39ffd4f6-677b-4d44-83c1-9b82b5f6c3f9,,last_to_last_month,July,0.358974358974359,0.358974358974359,0.0,0.20588235294117646,,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,PayLater Test Merchant
12,2024-06-03,f222c5d3-7fa3-4d25-ac61-e7272766db76,1,e9d41268-9b8b-454a-972a-0648ceea313c,0,,39ffd4f6-677b-4d44-83c1-9b82b5f6c3f9,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,PayLater Test Merchant
13,2024-07-30,c411dbae-89b6-42f5-9639-78feda5fefc1,1,e9d41268-9b8b-454a-972a-0648ceea313c,1,,09f162c5-d084-456d-af08-41fd36cbdc72,,last_to_last_month,July,0.36923076923076925,0.36923076923076925,0.0,0.32432432432432434,,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,PayLater Test Merchant
14,2024-08-02,c93b5397-a4cb-4e0e-987d-0b8740b1ebae,1,e9d41268-9b8b-454a-972a-0648ceea313c,1,last_month,cfddefe7-b88a-465f-bad2-10fc7975af8d,,last_month,August,0.3787878787878788,0.3787878787878788,0.0,0.3424657534246575,,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,PayLater Test Merchant
15,2024-08-03,dd070b24-2628-4164-92dd-dd9bac34af79,1,e9d41268-9b8b-454a-972a-0648ceea313c,1,last_month,39ffd4f6-677b-4d44-83c1-9b82b5f6c3f9,,last_month,August,0.4057971014492754,0.4057971014492754,0.0,0.3835616438356164,,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,PayLater Test Merchant
16,2024-05-30,33c4cfd1-4a07-4742-80e8-e831af2361ce,1,e9d41268-9b8b-454a-972a-0648ceea313c,0,,d15de53d-d82d-41e1-937a-2088f4b193b9,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,PayLater Test Merchant
17,2024-05-30,f5460034-feb8-47b0-b883-4c2354c31fa5,1,e9d41268-9b8b-454a-972a-0648ceea313c,0,,09f162c5-d084-456d-af08-41fd36cbdc72,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,PayLater Test Merchant
18,2024-07-03,2519882b-49b3-4adf-a851-255516ea45be,1,e9d41268-9b8b-454a-972a-0648ceea313c,1,last_to_last_month,5493705e-9df7-4d5e-be07-91bb788f7e84,,last_to_last_month,July,0.358974358974359,0.358974358974359,0.0,0.20588235294117646,,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,PayLater Test Merchant
19,2024-08-07,00dd7f9e-9104-44b6-95ae-8be7eceb9c27,1,e9d41268-9b8b-454a-972a-0648ceea313c,0,last_month,d48ad37c-f193-4596-b45c-d5935413b4c8,,last_month,August,0.44,0.44,0.0,0.44594594594594594,,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,PayLater Test Merchant
20,2024-06-06,0266a1aa-f2e4-41fa-9d68-82ad6dc81370,1,e9d41268-9b8b-454a-972a-0648ceea313c,0,,19e583e5-fdd4-4657-9765-b558eddb286d,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,PayLater Test Merchant
21,2024-07-06,52dcc0dd-1a31-4edf-9cc5-98091ee08b6c,1,e9d41268-9b8b-454a-972a-0648ceea313c,0,last_to_last_month,19e583e5-fdd4-4657-9765-b558eddb286d,,last_to_last_month,July,0.34146341463414637,0.34146341463414637,0.0,0.2,,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,PayLater Test Merchant
