,Unnamed: 0,installment_id,external_key,order_status,status,effective_at,created_datetime_dubai,n_installments,consumer_id,status_neew,Customer_status,country,merchant_id,merchant_name,current_month,last_month,last_to_last_month,which_month,created,day_number,mtd
89,105,a842dcf4-2a43-46c6-81ca-0da628746482,f8f67145-33f5-4091-a364-d76c1707152f,COMPLETE,PAID,2024-08-16 09:20:42.962938+00:00,2024-05-16 09:20:42.962938+00:00,4,a484d9bb-45df-4ea7-8864-7b5839c1dc07,PAID,returning,,e9d41268-9b8b-454a-972a-0648ceea313c,PayLater Test Merchant,,,,,2024-05-16,,
90,106,c7e30867-3958-4a6e-b7a4-0f9a221caf61,7b042b8b-26f2-4a38-9dff-d81d2bc57bb4,ACTIVE,PAID,2024-05-09 16:17:19.091871+00:00,2024-05-09 16:17:19.091871+00:00,4,6ea2c8bd-de2d-4f31-be07-c771bf07f21a,PAID,new,,e9d41268-9b8b-454a-972a-0648ceea313c,PayLater Test Merchant,,,,,2024-05-09,,
91,107,ba372444-e899-46f7-ae1b-62974e387318,cc8c1126-0eef-4179-81ec-6b517c1d8dc5,COMPLETE,PAID,2024-06-14 09:43:05.005570+00:00,2024-05-14 09:43:05.005570+00:00,4,1fc7e142-9cde-4693-8614-89ce8541121b,PAID,new,,e9d41268-9b8b-454a-972a-0648ceea313c,PayLater Test Merchant,,,,,2024-05-14,,
92,108,829aa079-58c2-4b5d-8c7c-e7b18f7dfa3f,cc8c1126-0eef-4179-81ec-6b517c1d8dc5,COMPLETE,PAID,2024-07-14 09:43:05.005570+00:00,2024-05-14 09:43:05.005570+00:00,4,1fc7e142-9cde-4693-8614-89ce8541121b,PAID,new,,e9d41268-9b8b-454a-972a-0648ceea313c,PayLater Test Merchant,,,,,2024-05-14,,
93,109,6b17d0fa-83b9-4524-ad21-8be3fb093c0f,cc8c1126-0eef-4179-81ec-6b517c1d8dc5,COMPLETE,PAID,2024-08-14 09:43:05.005570+00:00,2024-05-14 09:43:05.005570+00:00,4,1fc7e142-9cde-4693-8614-89ce8541121b,PAID,new,,e9d41268-9b8b-454a-972a-0648ceea313c,PayLater Test Merchant,,,,,2024-05-14,,
94,110,997d05c6-164a-49df-b5e3-e1664c71eb73,20767aa6-c906-438c-8a91-ebed5a63bddd,ACTIVE,PAID,2024-05-09 16:31:57.180197+00:00,2024-05-09 16:31:57.180197+00:00,4,6ea2c8bd-de2d-4f31-be07-c771bf07f21a,PAID,new,,e9d41268-9b8b-454a-972a-0648ceea313c,PayLater Test Merchant,,,,,2024-05-09,,
95,111,09de634b-1f20-4741-8473-b27b050fb61f,26d54083-90d9-477c-ae7b-07d101f719d4,COMPLETE,PAID,2024-06-14 09:59:41.191800+00:00,2024-05-14 09:59:41.191800+00:00,4,1fc7e142-9cde-4693-8614-89ce8541121b,PAID,returning,,e9d41268-9b8b-454a-972a-0648ceea313c,PayLater Test Merchant,,,,,2024-05-14,,
96,112,8b6fe8d1-18c0-4ded-9367-ea173623ab0b,26d54083-90d9-477c-ae7b-07d101f719d4,COMPLETE,PAID,2024-07-14 09:59:41.191800+00:00,2024-05-14 09:59:41.191800+00:00,4,1fc7e142-9cde-4693-8614-89ce8541121b,PAID,returning,,e9d41268-9b8b-454a-972a-0648ceea313c,PayLater Test Merchant,,,,,2024-05-14,,
97,113,ab9cdc6d-bd39-45c8-baf8-844e99a5bd89,26d54083-90d9-477c-ae7b-07d101f719d4,COMPLETE,PAID,2024-08-14 09:59:41.191800+00:00,2024-05-14 09:59:41.191800+00:00,4,1fc7e142-9cde-4693-8614-89ce8541121b,PAID,returning,,e9d41268-9b8b-454a-972a-0648ceea313c,PayLater Test Merchant,,,,,2024-05-14,,
98,114,030be753-d27e-48b6-9873-6cbbb23b91df,f5ea1f05-5c26-4cd8-9dd7-78afaa086410,ACTIVE,PAID,2024-05-11 15:15:24.343180+00:00,2024-05-11 15:15:24.343180+00:00,4,6ea2c8bd-de2d-4f31-be07-c771bf07f21a,PAID,new,,e9d41268-9b8b-454a-972a-0648ceea313c,PayLater Test Merchant,,,,,2024-05-11,,
99,115,8f926a6c-e71f-464b-90a9-995e662c8e64,20767aa6-c906-438c-8a91-ebed5a63bddd,ACTIVE,MISSED,2024-08-09 16:31:57.180197+00:00,2024-05-09 16:31:57.180197+00:00,4,6ea2c8bd-de2d-4f31-be07-c771bf07f21a,MISSED,new,,e9d41268-9b8b-454a-972a-0648ceea313c,PayLater Test Merchant,,,,,2024-05-09,,
100,116,d40a242c-357e-44ea-a5f3-8dc1a877e249,dbc937c0-e551-4fbf-9b0d-cd58ef297e51,ACTIVE,MISSED,2024-06-08 11:45:51.661546+00:00,2024-05-08 11:45:51.661546+00:00,4,6ea2c8bd-de2d-4f31-be07-c771bf07f21a,MISSED,new,,e9d41268-9b8b-454a-972a-0648ceea313c,PayLater Test Merchant,,,,,2024-05-08,,
